Version du site;Horodateur;Temps passé sur le site;Nombre de clics;Nombre de pages visités;Nombre de click sur le menu;nbProductBuy;prix total;temp moyen par page;temp moyen sur page catalogue;temp moyen sur page produit;Adresse IP

3;Sun May 01 2022 16:59:01 GMT+0200 (Central European Summer Time);0;1;2;1;0;0€;0;0;0;::1
3;Sun May 01 2022 17:04:23 GMT+0200 (Central European Summer Time);2;0;2;0;0;0€;2;0;0;::1
3;Sun May 01 2022 17:07:56 GMT+0200 (Central European Summer Time);0;1;1;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:08:31 GMT+0200 (Central European Summer Time);0;1;0;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:08:31 GMT+0200 (Central European Summer Time);1;1;2;0;0;0€;1;0;0;::1
3;Sun May 01 2022 17:09:37 GMT+0200 (Central European Summer Time);0;1;1;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:10:48 GMT+0200 (Central European Summer Time);1;4;4;0;0;0€;1;4;5;::1
3;Sun May 01 2022 17:16:56 GMT+0200 (Central European Summer Time);5;3;2;2;0;0€;2.5;0;2;::1
3;Sun May 01 2022 17:23:18 GMT+0200 (Central European Summer Time);3;11;3;0;0;0€;3;4;0;::1
3;Sun May 01 2022 17:27:18 GMT+0200 (Central European Summer Time);0;10;4;0;0;0€;0;5;3;::1
3;Sun May 01 2022 17:28:43 GMT+0200 (Central European Summer Time);0;0;1;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:30:38 GMT+0200 (Central European Summer Time);0;8;3;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:33:09 GMT+0200 (Central European Summer Time);0;15;6;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:39:57 GMT+0200 (Central European Summer Time);0;1;0;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:39:57 GMT+0200 (Central European Summer Time);0;5;4;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:46:46 GMT+0200 (Central European Summer Time);0;0;4;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:47:48 GMT+0200 (Central European Summer Time);0;1;0;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:47:48 GMT+0200 (Central European Summer Time);0;0;3;0;0;0€;0;0;0;::1
3;Sun May 01 2022 17:48:15 GMT+0200 (Central European Summer Time);0;0;0;0;1;0€;0;0;0;::1
3;Sun May 01 2022 17:48:15 GMT+0200 (Central European Summer Time);1;4;2;0;0;0€;1;0;0;::1
